,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1319,2023-01-15 05:00:00,20783.1,20679.86,20700.4,1282.16,26596349.37,20749.9,direct,
1320,2023-01-15 06:00:00,20787.2,20704.39,20749.9,936.1,19421984.64,20718.75,direct,
1321,2023-01-15 07:00:00,20738.86,20671.65,20718.75,1081.57,22396614.93,20736.18,direct,
1322,2023-01-15 08:00:00,20750.75,20598.07,20736.18,1896.33,39192742.3,20616.88,direct,
1323,2023-01-15 09:00:00,20754.5,20579.39,20616.88,2076.96,42869222.0,20746.3,direct,
1324,2023-01-15 10:00:00,20758.76,20697.89,20746.3,1099.63,22796185.67,20735.61,direct,
1325,2023-01-15 11:00:00,20741.05,20677.31,20735.61,937.09,19401287.09,20725.77,direct,
1326,2023-01-15 12:00:00,20741.13,20658.08,20725.77,922.03,19089858.18,20694.51,direct,
1327,2023-01-15 13:00:00,20833.05,20690.38,20694.51,1569.54,32569194.67,20709.81,direct,
1328,2023-01-15 14:00:00,20817.53,20690.91,20709.81,1305.31,27090618.73,20792.28,direct,
1329,2023-01-15 15:00:00,20986.03,20784.43,20792.28,3449.68,72046931.7,20914.18,direct,
1330,2023-01-15 16:00:00,20957.89,20858.72,20914.18,2583.53,53996768.63,20875.63,direct,
1331,2023-01-15 17:00:00,21047.91,20872.11,20875.63,3001.74,62899489.0,20925.49,direct,
1332,2023-01-15 18:00:00,20925.8,20695.98,20925.49,3382.5,70345665.76,20820.16,direct,
1333,2023-01-15 19:00:00,20902.24,20785.8,20820.16,1710.72,35680370.83,20872.52,direct,
1334,2023-01-15 20:00:00,20929.41,20843.28,20872.52,1581.79,33023199.98,20908.44,direct,
1335,2023-01-15 21:00:00,20934.23,20869.17,20908.44,950.14,19860845.32,20903.64,direct,
1336,2023-01-15 22:00:00,20955.25,20759.5,20903.64,1486.28,30984704.28,20920.48,direct,
1337,2023-01-15 23:00:00,20932.57,20845.88,20920.48,1279.94,26728935.04,20878.94,direct,
1338,2023-01-16 00:00:00,20997.9,20785.18,20878.94,2410.2,50341102.06,20971.84,direct,
1339,2023-01-16 01:00:00,21303.21,20923.65,20971.84,5811.26,122857468.96,21191.37,direct,
1340,2023-01-16 02:00:00,21423.98,21133.22,21191.37,4834.14,102920091.49,21213.52,direct,
1341,2023-01-16 03:00:00,21228.98,21043.03,21213.52,2729.61,57631783.64,21082.01,direct,
1342,2023-01-16 04:00:00,21168.18,21046.89,21082.01,1837.55,38796615.17,21156.81,direct,
1343,2023-01-16 05:00:00,21214.61,21129.86,21156.81,1581.34,33484020.8,21197.84,direct,
1344,2023-01-16 06:00:00,21239.1,21121.36,21197.84,2021.82,42816098.11,21154.89,direct,
1345,2023-01-16 07:00:00,21161.26,21078.62,21154.89,1704.59,35982972.6,21114.66,direct,
1346,2023-01-16 08:00:00,21117.33,20693.68,21114.66,4902.81,102099749.55,20752.34,direct,
